1066	寺	5829
1067	籍	5824
1068	測	5816
1069	园	5815
1070	紅	5806
1071	漢	5806
1072	熱	5799
1073	岛	5786
1074	臣	5784
1075	企	5782
1076	滿	5779
1077	距	5763
1078	织	5761
1079	採	5755
1080	卫	5737
1081	舞	5719
1082	写	5715
1083	试	5709
1084	係	5701
1085	斷	5693
1086	待	5687
1087	識	5677
1088	拍	5672
1089	屋	5671
1090	烈	5668
1091	況	5653
1092	评	5652
1093	刻	5652
1094	俄	5630
1095	板	5630
1096	响	5628
1097	隆	5622
1098	材	5614
1099	仅	5596
1100	你	5595
1101	援	5589
1102	遠	5588
1103	益	5580
1104	眼	5573
1105	岸	5568
1106	围	5564
1107	兼	5560
1108	确	5556
1109	役	5535
1110	担	5507
1111	充	5501
1112	范	5497
1113	征	5483
1114	詞	5464
1115	蘇	5457
1116	埃	5456
1117	吸	5448
1118	缺	5446
1119	声	5444
1120	儿	5440
1121	梅	5436
1122	陆	5430
1123	價	5410
1124	鎮	5407
1125	末	5400
1126	犯	5398
1127	媒	5391
1128	邦	5364
1129	独	5360
1130	杀	5353
1131	夜	5349
1132	須	5348
1133	郎	5338
1134	毛	5334
1135	異	5308
1136	擁	5295
1137	毒	5281
1138	習	5271
1139	丹	5271
1140	露	5258
1141	农	5256
1142	織	5249
1143	禁	5240
1144	濟	5217
1145	逃	5211
1146	堡	5206
1147	飞	5202
1148	孩	5201
1149	龙	5190
1150	黄	5169
1151	鬥	5168
1152	唐	5165
1153	圣	5161
1154	画	5157
1155	继	5154
1156	莫	5149
1157	楼	5141
1158	巨	5127
1159	爱	5123
1160	极	5117
1161	秀	5116
1162	槍	5115
1163	署	5110
1164	户	5109
1165	執	5109
1166	童	5105
1167	鄉	5105
1168	澳	5100
1169	壓	5096
1170	状	5077
1171	激	5076
1172	介	5072
1173	混	5064
1174	描	5035
1175	植	5033
1176	私	5024
1177	疑	5024
1178	戶	5021
1179	固	5018
1180	唯	5017
1181	操	5015
1182	途	5003
1183	艺	5002
1184	股	4994
1185	宮	4986
1186	艦	4984
1187	徒	4981
1188	穿	4979
1189	沿	4979
1190	双	4965
1191	築	4964
1192	朗	4964
1193	捕	4955
1194	急	4955
1195	靠	4953
1196	聚	4953
1197	旗	4931
1198	君	4931
1199	魚	4910
1200	培	4909
1201	松	4901
1202	兴	4901
1203	责	4884
1204	溫	4865
1205	测	4864
1206	靈	4857
1207	显	4854
1208	什	4854
1209	雅	4824
1210	让	4822
1211	嚴	4799
1212	斗	4792
