tokenizer,locale,n,spearman_r,spearman_p,kendall_tau,kendall_p,spearman_p_corrected,significant_corrected
gpt4,zh-Hans,249,0.6138314027519385,3.5620577171231895e-27,0.47345889220332665,2.4000175144264324e-26,7.717791720433577e-26,True
gpt4,ja,249,0.6864330596846894,4.944138740554129e-36,0.5343012600889492,1.1476542708527307e-31,3.213690181360184e-34,True
gpt4,ta,249,0.16155247859710664,0.010673158996579323,0.11112537379588741,0.010255972270287683,0.012171146224169403,True
gpt4,tr,249,0.20101004268769798,0.0014299711761928972,0.1399069394381659,0.001401361213057029,0.0018969005398477208,True
gpt4,ko,249,0.6241415887946963,2.720977457098459e-28,0.4656620367290181,8.061856454617982e-26,8.843176735569991e-27,True
llama3,en,249,0.22859593951684182,0.0002754979285425158,0.15702049058963,0.00032303223215601935,0.0003979414523391895,True
llama3,es,249,0.40459767218677406,3.1724636504512664e-11,0.2873358904024455,5.866327441016136e-11,1.1894551277888136e-10,True
llama3,fr,249,0.3155903623048188,3.6679336745001913e-07,0.21944909470557988,5.27619727810009e-07,7.012226142426835e-07,True
llama3,ru,249,0.35623699900430883,7.298761735902409e-09,0.2525533543970463,1.2575219478722227e-08,1.694355402977345e-08,True
llama3,ar,249,0.14242082997866132,0.02460657459646734,0.10004363297598357,0.024169529969198453,0.026723907301912018,True
llama3,hi,249,0.10316926317744606,0.10434834870708073,0.07206181661767587,0.10328696650321038,0.10766099469778172,False
llama3,zh-Hans,249,0.46530343626450704,8.803073234244165e-15,0.37710548492249596,1.736269148836743e-14,8.17428228894101e-14,True
llama3,ja,249,0.39978548883342313,5.6759438782166146e-11,0.2916074898604441,1.0391660194886765e-10,1.8446817604203997e-10,True
llama3,ta,249,0.16155247859710664,0.010673158996579323,0.11112537379588741,0.010255972270287683,0.012171146224169403,True
llama3,tr,249,0.13595465155448816,0.03199281306004024,0.09376882425125294,0.03232905878763071,0.03409070244102649,True
llama3,ko,249,0.44875750737151965,9.666475794498559e-14,0.345693115163117,1.5599888883972157e-13,7.854011583030079e-13,True
gemma,en,249,0.41332734392295173,1.0780410259133218e-11,0.3010669980815153,8.512780392031322e-12,5.0051904774547076e-11,True
gemma,es,249,0.31395884335003776,4.242924357400223e-07,0.2234541625141036,2.967691863504876e-07,7.660835645305958e-07,True
gemma,fr,249,0.26532234860201775,2.2161341726873822e-05,0.17995528089522228,3.689054808655751e-05,3.4297314577304724e-05,True
gemma,ru,249,0.38678955066490694,2.6082729061780036e-10,0.2778726372980273,3.4998652404635524e-10,7.371206039198705e-10,True
gemma,ar,249,0.2115639258835293,0.000780172549569877,0.1459154321619767,0.0010885929599333956,0.0010789620366391916,True
gemma,hi,249,0.16502461402141635,0.009084634205013138,0.11163184170494406,0.01113564386039051,0.01073638587865189,True
gemma,zh-Hans,249,0.3113672355438516,5.337676430760161e-07,0.24095220969391815,6.482402722380571e-07,9.376999135119203e-07,True
gemma,ja,249,0.399988887363613,5.539128785665875e-11,0.2922444762395252,6.415062045745358e-11,1.8446817604203997e-10,True
gemma,ta,249,0.31496090845135527,3.8803077201449867e-07,0.21994823663676683,4.4355235047101795e-07,7.206285765983547e-07,True
gemma,tr,249,0.17693022188704516,0.005110457452675701,0.12149766754929066,0.005351943545988872,0.006513328125959227,True
gemma,ko,249,0.16050322078827717,0.011199243943735632,0.12756937311443622,0.009250148047950137,0.012550876833496828,True
xlmr,en,249,0.3716351670897004,1.4219707902380622e-09,0.26861597168807877,7.900041156526894e-10,3.6971240546189614e-09,True
xlmr,es,249,0.4293573777668599,1.3671028800719005e-12,0.3080592750434396,1.6486582496110338e-12,8.078335200424865e-12,True
xlmr,fr,249,0.36026275577907335,4.7989975610185434e-09,0.2478293586930747,1.2194114928589433e-08,1.1553142276526123e-08,True
xlmr,ru,249,0.40662213224382626,2.476827232354694e-11,0.28973645180642615,3.6782237903438846e-11,1.073291800687034e-10,True
xlmr,ar,249,0.1737610367442981,0.005976832615504988,0.12080045608562309,0.006266324583434788,0.00738299091053704,True
xlmr,hi,249,0.20199511075240523,0.0013530334284469236,0.14124810400603866,0.0013424655428992919,0.0018322327676885423,True
xlmr,zh-Hans,249,0.3393559709989168,3.9777600530542076e-08,0.2600719021994847,9.330017945407696e-09,8.915669084431844e-08,True
xlmr,ja,249,0.31922856378071524,2.6425816561026704e-07,0.23266936853288855,3.1453820533414593e-07,5.36774398895855e-07,True
