,en,es,fr,ru,ar,hi,zh-Hans,ja,ta,tr,ko
ZM,6.029599339025764,5.901631979868665,6.025020183751465,5.902327071122888,4.25491241921459,5.262053615461256,11.785363856040007,9.159106329643617,5.067655635931995,5.445308801574848,9.568294009079338
SA,5.150580525809165,5.47374013544546,4.664439512854415,5.2819245982387715,4.378515826228794,6.465727170267524,10.857208033702705,9.067541540678901,5.275366654967974,5.170243986366761,8.045668031946462
FI,4.922452618499265,4.53822074291179,4.648684492307975,5.329348241559391,4.211685177619492,6.035586236248474,12.891571438449041,8.31732809248101,4.233263439507878,4.4992757128760505,11.348063769614328
LY,5.885295150691807,5.268214020390866,6.077498197217144,5.766222291495515,3.6720193003522206,4.927593579507074,10.323847192868675,8.924207730611647,4.577895439950435,5.704468358392861,7.7378828231615735
MD,5.182814003418358,4.782054919465617,4.898206910796642,4.889936457074546,4.162377393245021,5.69116202962551,11.115534805647608,9.256535346057456,4.865873735639674,5.425080532429847,9.556305793484498
MO,5.807761799557899,6.413984010710985,5.833207897365114,7.545835145386411,4.714224362997155,5.830602519277722,9.973083226803826,10.58515259571967,5.974268869657057,6.733159791170464,8.922222642575612
PA,4.910691794388719,5.3511082395956455,4.926827580786834,4.854427884246515,4.056902797692818,4.464730667899115,11.450423091368313,9.809378371564957,4.7304635146555745,4.655905102962888,8.760667172367755
UM,5.7362652380819625,5.465879819205309,5.275605120374638,6.47776557449065,4.476196903929412,7.295257314416456,10.835385002799416,11.711708693697625,5.383647085559026,5.992889448243866,8.844225136069834
BA,5.597875517380041,5.36994443387931,5.4318295547694175,5.332326074070833,4.546713761150926,5.345949601936657,10.995171990962442,9.912036176420447,6.454792476355703,5.511577869672558,8.861422832459303
FO,4.921935393868275,5.151810748069342,6.433296712435883,5.168150710915285,5.204677633025459,5.651602753791909,11.217678281647949,10.159285616656256,5.7791781115139615,5.081490385496853,8.747807981499543
UY,5.746363506748481,5.796689651459128,5.972756337454007,5.789302599202683,4.743982811930478,5.67396440920532,13.300544355117582,8.676354736267356,5.14437359231889,5.734350691124152,7.979998833466936
GB,5.268145363712928,5.277945640085812,5.982060894858068,4.621044257992473,4.352303796052924,5.647879795898451,9.522282509991687,8.855690031333157,4.848511336614667,4.874085540679551,8.09764524089939
HT,4.877264448332033,6.01718418164595,7.07742754295959,5.134065772978147,4.10386919028073,5.200780907204579,8.970233043346177,9.535478272932698,5.432146529739295,4.9471166296320845,7.8795042684078185
CC,5.5837859077580205,5.195446308070196,6.135179690901031,5.079662171377133,5.979501634350985,5.6441979880583615,13.475249156212149,9.44234430523507,5.915680741965847,5.978608210851566,8.942683120613268
NO,5.5181971221510695,5.008594715003001,6.053398484342215,5.11058247856133,4.145407704148595,5.3625360054506315,13.446760540655829,9.191448796920579,5.01198570160139,6.166938010952265,9.359427058386496
ER,4.599844171010253,4.393676092904325,5.972142903086496,5.262651750688944,4.363948827663973,4.991117591481032,11.008046316954653,8.570617462480065,4.696209371904939,4.84086782383775,7.4095100736280015
PK,4.865584334704367,5.8634477989113405,5.220693453686335,4.6700561496537,4.372158910484024,4.513976818494921,10.638659442577339,8.557267243103714,4.534104433768276,4.756009863853849,9.879857583059769
QA,5.6823737123118,4.65530684261072,5.503255975506263,4.992550982129755,5.593604966293068,5.360224398430476,11.006239334133257,8.064475958980019,3.7910510644411035,4.712707994647777,9.905798586482794
TF,4.6184899182193515,4.6247675054941055,4.63742729375352,5.304632857093183,4.358414907843602,5.485057370361573,9.883772489599288,13.234685688476894,5.161199155116446,5.406470462575929,9.561808540198736
TW,4.857570742627575,6.79036034976416,7.559884218799741,5.495365945208381,3.747711623732009,5.050951677655978,11.94983013068319,13.287394851490577,4.486567804782449,5.0628919635523095,7.143390783888871
AI,5.019944700087629,5.038607186236841,5.003271445460471,5.706918205755419,4.576019816417573,5.225294250773492,12.066319273357863,8.874748696774887,4.848821579181428,4.781145488917837,15.490340943597294
GA,5.497437332001449,6.092559787222731,5.803493937457532,5.495088471919605,4.325883919024505,6.360841665573527,12.66398325079985,9.617385556153847,4.611875120661623,5.549963946774824,9.288877424514618
AE,5.087137511946086,5.256029987514055,4.925942142137435,9.804709374815715,4.353769451476102,5.371852171704277,11.138360214819107,10.85824045976219,5.470229473712447,5.004703850824649,8.948970058878286
